Date,USD (PM)
23-09-2020,1873.4
22-09-2020,1906
21-09-2020,1909.35
18-09-2020,1950.85
17-09-2020,1936.25
16-09-2020,1961.8
15-09-2020,1949.35
14-09-2020,1958.7
11-09-2020,1947.4
10-09-2020,1966.25
09-09-2020,1947.2
08-09-2020,1910.95
07-09-2020,1928.45
04-09-2020,1926.3
03-09-2020,1940.45
02-09-2020,1947.05
01-09-2020,1972.35
28-08-2020,1957.35
27-08-2020,1923.85
26-08-2020,1932.95
25-08-2020,1911.15
24-08-2020,1943.95
21-08-2020,1924.35
20-08-2020,1927.15
19-08-2020,1981
18-08-2020,2008.75
17-08-2020,1972.85
14-08-2020,1944.75
13-08-2020,1944.25
12-08-2020,1931.9
11-08-2020,1939.65
10-08-2020,2044.5
07-08-2020,2031.15
06-08-2020,2067.15
05-08-2020,2048.15
04-08-2020,1977.9
03-08-2020,1958.55
31-07-2020,1964.9
30-07-2020,1957.65
29-07-2020,1950.9
28-07-2020,1940.9
27-07-2020,1936.65
24-07-2020,1902.1
23-07-2020,1878.3
22-07-2020,1852.4
21-07-2020,1842.55
20-07-2020,1815.65
17-07-2020,1807.35
16-07-2020,1807.7
15-07-2020,1804.6
14-07-2020,1801.9
13-07-2020,1807.5
10-07-2020,1803.1
09-07-2020,1812.1
08-07-2020,1811.1
07-07-2020,1789.55
06-07-2020,1787.9
03-07-2020,1772.9
02-07-2020,1777.45
01-07-2020,1771.05
30-06-2020,1768.1
29-06-2020,1771.6
26-06-2020,1747.6
25-06-2020,1756.55
24-06-2020,1766.05
23-06-2020,1768.9
22-06-2020,1761.85
19-06-2020,1734.75
18-06-2020,1719.5
17-06-2020,1724.35
16-06-2020,1719.85
15-06-2020,1710.45
12-06-2020,1733.5
11-06-2020,1738.25
10-06-2020,1722.05
09-06-2020,1713.5
08-06-2020,1690.35
05-06-2020,1683.45
04-06-2020,1700.05
03-06-2020,1705.35
02-06-2020,1742.15
01-06-2020,1730.6
29-05-2020,1728.7
28-05-2020,1717.35
27-05-2020,1694.6
26-05-2020,1720.25
22-05-2020,1733.55
21-05-2020,1724.9
20-05-2020,1748.3
19-05-2020,1737.95
18-05-2020,1734.7
15-05-2020,1735.35
14-05-2020,1731.6
13-05-2020,1708.4
12-05-2020,1702.4
11-05-2020,1702.75
07-05-2020,1704.05
06-05-2020,1691.5
05-05-2020,1699.55
04-05-2020,1709.1
01-05-2020,1686.25
30-04-2020,1702.75
29-04-2020,1703.35
28-04-2020,1691.55
27-04-2020,1714.95
24-04-2020,1715.9
23-04-2020,1736.25
22-04-2020,1710.55
21-04-2020,1682.05
20-04-2020,1686.2
17-04-2020,1692.55
16-04-2020,1729.5
15-04-2020,1718.65
14-04-2020,1741.9
09-04-2020,1680.65
08-04-2020,1647.8
07-04-2020,1649.25
06-04-2020,1648.3
03-04-2020,1613.1
02-04-2020,1616.8
01-04-2020,1576.55
31-03-2020,1608.95
30-03-2020,1618.3
27-03-2020,1617.3
26-03-2020,1634.8
25-03-2020,1605.45
24-03-2020,1605.75
23-03-2020,1525.4
20-03-2020,1494.4
19-03-2020,1474.25
18-03-2020,1498.2
17-03-2020,1536.2
16-03-2020,1487.7
13-03-2020,1562.8
12-03-2020,1570.7
11-03-2020,1653.75
10-03-2020,1655.7
09-03-2020,1672.5
06-03-2020,1683.65
05-03-2020,1659.6
04-03-2020,1641.85
03-03-2020,1615.5
02-03-2020,1599.65
28-02-2020,1609.85
27-02-2020,1652
26-02-2020,1634.9
25-02-2020,1650.3
24-02-2020,1671.65
21-02-2020,1643.3
20-02-2020,1619
19-02-2020,1604.2
18-02-2020,1589.85
17-02-2020,1580.8
14-02-2020,1581.4
13-02-2020,1575.05
12-02-2020,1563.7
11-02-2020,1570.5
10-02-2020,1573.2
07-02-2020,1572.65
06-02-2020,1563.3
05-02-2020,1553.3
04-02-2020,1558.35
03-02-2020,1574.75
31-01-2020,1584.2
30-01-2020,1578.25
29-01-2020,1573.45
28-01-2020,1574
27-01-2020,1580.1
24-01-2020,1564.3
23-01-2020,1562.9
22-01-2020,1556.9
